seg	po	class	log intensity
8	43	Isoflavone O-glycosides	4.664519754
8	45	Oxidized fatty acids	4.297213196
8	47	Triterpene saponins	3.968856375
8	49	Triterpene saponins	4.428118589
8	51	Triterpene saponins	4.979853275
8	53	Triterpene saponins	4.343053923
8	55	Triterpene saponins	3.962606073
9	1	Biflavonoids	3.958945932
9	3	Biflavonoids	3.949536373
9	5	Chalcones	4.143951116
9	7	Coumarin and derivatives	3.921738484
9	9	Flavanol O-glycosides	4.238322156
9	11	Flavanol O-glycosides	4.541379522
9	13	Flavanone C,O-glycosides	4.524499977
9	15	Flavanone O-glycosides	3.910517686
9	17	Flavanone O-glycosides	5.471086253
9	19	Flavanone O-glycosides	4.603912643
9	21	Flavanone O-glycosides	4.283708189
9	23	Flavanone O-glycosides	4.508758589
9	25	Flavone C,C,O-glycosides	4.279826582
9	27	Flavone C,C-glycosides	5.157786066
9	29	Flavone O-glycosides	4.099024216
9	31	Flavonol O-glycosides	4.645422269
9	33	Flavonol O-glycosides	4.856867794
9	35	Hydroxyferulic acid and derivatives	4.697255504
9	37	Indole and derivatives	4.56937391
9	39	Isoflavone O-glycosides	4.60421525
9	41	Isoflavone O-glycosides	4.627632088
9	43	Isoflavone O-glycosides	4.732659081
9	45	Lipids	4.104930739
9	47	Lipids	4.263683401
9	49	Oxidized fatty acids	4.416374192
9	51	Prenylated arylbenzofuran flavonoids	4.51854026
9	53	Prenylated chalcones	4.181614952
9	55	Prenylated chalcones	4.167376418
9	57	Prenylated chalcones	4.674943768
9	59	Prenylated flavanones	4.319564066
9	61	Prenylated flavanones	4.126131407
9	63	Prenylated flavanones	3.933740299
9	65	Prenylated flavanones	5.121208459
9	67	Prenylated flavanones	4.727020442
9	69	Prenylated flavanones	4.572894826
9	71	Prenylated flavones	4.110286608
9	73	Prenylated flavones	4.106666762
9	75	Prenylated isoflavanones	4.355029856
9	77	Prenylated isoflavanones	4.50714045
9	79	Prenylated isoflavones	3.986547813
9	81	Prenylated licodiones	4.406148287
9	83	Prenylated licodiones	4.238873737
9	85	Prenylated licodiones	4.858260412
9	87	Prenylated licodiones	4.655820088
9	89	Prenylated pterocarpans	4.364682296
9	91	Prenylated stilbenes	4.797066625
9	93	Pterocarpans	4.645471395
9	95	Stilbene glycosides	4.056142262
9	97	Stilbene glycosides	4.94609348
9	99	Triterpene saponins	3.90439092
9	101	Triterpene saponins	4.011443562
9	103	Triterpene saponins	4.602504915
9	105	Triterpene saponins	4.48790161
10	1	Chalcones	5.13414522
10	3	Coumaric acid and derivatives	3.963787827
10	5	Dipeptides	4.434137589
10	7	Ferulic acid and derivatives	3.938269483
10	9	Flavanone O-glycosides	4.004192356
10	11	Flavone C,C-glycosides	4.876298686
10	13	Flavone C-glycosides	4.653569454
10	15	Flavone O-glycosides	4.1023994
10	17	Flavone O-glycosides	4.374565061
10	19	Flavone O-glycosides	4.902258604
10	21	Flavonol O-glycosides	5.338317019
10	23	Flavonol O-glycosides	4.419063124
10	25	Flavonol O-glycosides	4.074999186
10	27	Flavonol O-glycosides	4.82802797
10	29	Flavonol O-glycosides	4.208656301
10	31	Flavonol O-glycosides	4.049489372
10	33	Flavonol O-glycosides	4.462188288
10	35	Flavonol O-glycosides	4.170584382
10	37	Flavonol O-glycosides	4.009025742
10	39	Isoflavone O-glycosides	5.132339751
10	41	Isoflavone O-glycosides	4.114911084
