seg	po	OP	AT	OS	ZM	AC	NT	MT	GM	GG	GU	LE	ST
3	39	-1	-0.88716533	1	-0.963615383	-0.863123147	0.044958591	-0.547916393	-0.554357828	-0.859617604	-0.900267298	-0.973752246	-0.827293575
3	41	-1	-1	1	0.102355233	0.013104303	-1	-1	-1	-1	-1	-1	-1
3	43	-1	-0.944143279	1	-0.98058815	-0.220323734	0.303552231	-0.155134686	-0.54245675	-0.932660857	-0.940071822	-0.949678629	-0.964241329
3	45	-1	-0.881732797	1	-0.930611463	-0.914893617	-1	-0.130918152	-0.735096799	-0.741422273	-1	0.311098332	-1
3	47	-1	-0.916081759	1	-1	-1	0.189664481	-0.930273814	-0.946317007	-0.932279213	-0.921326649	-0.924411878	-0.709679907
3	49	-1	-1	1	-1	-0.920860152	-0.419689877	-1	-1	-1	-1	-0.865272089	-1
4	1	-1	-1	-1	1	-1	-1	-1	-1	0.583803777	-0.729803387	-1	-1
4	3	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1
4	5	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1
4	7	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1
4	9	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1
4	11	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1
4	13	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1
4	15	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1
4	17	-1	-1	-1	1	-1	-1	-0.202563999	-1	-1	-1	-1	-1
4	19	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1
4	21	-1	-1	-1	1	-1	-1	-1	-1	-0.932107444	-0.966849193	-1	-1
4	23	-1	-1	-0.975580063	1	-0.628258379	-1	-0.518834145	-1	-0.860283586	-1	-0.190704669	-0.934187912
4	25	-1	-1	-0.691692994	1	-1	-1	-1	-1	-1	-1	-1	-1
4	27	-1	-1	-0.753196186	1	-1	-1	-1	-1	-1	-1	-1	-1
4	29	-1	-1	-1	1	-1	-1	-1	-0.801544483	-1	-1	-1	-1
4	31	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1
4	33	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-0.795556403
4	35	-1	-1	-0.890888639	1	-1	-1	-1	-1	-1	-1	-1	-1
4	37	-1	-1	-0.746666667	1	-1	-1	-1	-1	-1	-1	-1	-1
4	39	-1	-1	-0.627577166	1	-1	-1	-1	-1	-1	-1	-1	-1
4	41	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1
4	43	-1	-1	-0.644032533	1	-1	-1	-1	-1	-1	-1	-1	-1
4	45	-1	0.864167022	-1	1	-1	-1	-1	-1	-1	-1	-1	-1
4	47	-1	-0.85356117	-0.554817195	0.972226279	-0.387858429	-0.910082274	-0.561121659	-0.88459666	-0.776739205	-0.825495351	1	-0.289810623
4	49	-1	-1	-0.508283632	1	-0.698174589	-0.751792277	-1	-1	-1	-1	-0.633110428	-1
4	51	-1	-1	-1	1	-1	-0.798059115	-1	-0.450033336	-0.007926513	-0.306911623	-1	-0.043632862
4	53	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1
4	55	-1	-1	-0.52803948	1	-1	-1	-0.861148497	-0.909825034	-1	-1	-0.902198295	-1
4	57	-1	-1	-0.936941086	1	-1	-1	-1	-1	-1	-1	-0.948148148	-0.955363654
4	59	-1	-1	-1	1	-1	-1	-0.860382075	-1	-1	-1	-1	-1
5	1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1
5	3	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1
5	5	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1
5	7	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1
5	9	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1
5	11	-1	-0.948602134	-1	-1	1	-1	-1	-1	-0.819328713	-0.855930224	-1	-1
5	13	-1	-1	-1	-0.986307371	1	-1	-1	-1	-1	-1	-1	-1
5	15	-1	-0.964585162	-0.050172146	-0.993681226	1	0.120515763	-0.155066496	-0.894835617	-0.968041585	-0.992061027	-0.051927361	-0.989158172
5	17	-1	-1	-0.991692913	-1	1	-1	-1	-1	-0.980354331	-1	-1	-1
5	19	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1
5	21	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1
5	23	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1
5	25	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1
5	27	-1	-1	-1	-1	1	0.303961382	-1	-0.097233928	-0.835568156	-0.787908972	-0.906520573	-0.900390775
5	29	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1
5	31	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1
5	33	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1
5	35	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1
5	37	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1
5	39	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1
5	41	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1
5	43	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1
6	1	-1	-0.621129768	-1	-1	-1	1	-1	-0.973308745	-0.940357178	-0.981316122	-1	-1
6	3	-1	-1	-0.559238189	-0.934701954	-0.64382884	0.459411328	1	0.333663121	-0.962898837	-0.683997032	-1	-0.903042295
6	5	-1	-1	-0.955423626	-0.934493862	-0.737572952	0.774602536	-0.452304287	1	-1	-0.52575971	-0.934393238	-0.854900382
6	7	-1	-1	-0.893816911	-0.858422548	-0.773869347	1	-0.520428228	0.047192484	-0.89731265	-0.437841381	-0.874153376	-0.697618527
6	9	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1
6	11	-1	-1	-1	-1	-1	1	-1	-1	-0.878614158	-1	-1	-1
6	13	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1
6	15	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1
6	17	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1
6	19	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1
6	21	-1	-1	-0.767663457	-0.92356817	-0.120527116	1	-0.775367461	-1	-0.725899645	-0.440040547	-0.492752154	-0.561074506
6	23	-1	0.072930031	-0.637027534	-1	-0.91927366	1	-0.653607027	-0.229448337	-1	-1	-1	-1
6	25	-1	-0.558444614	-0.71292429	-1	-0.654214954	1	-0.412318372	-0.822930761	-0.940114124	-0.947879287	-1	-1
6	27	-1	-0.219959998	-0.716703421	-1	-1	1	-0.463869942	-1	-1	-1	-0.651879584	-1
6	29	-1	-0.678223185	-0.278223185	-1	-0.098808234	1	-0.650487541	-0.82340195	-1	-1	-0.56836403	-0.906825569
6	31	-1	-0.085175534	-0.255145961	-0.451468392	-0.027493924	1	0.039235206	-1	-0.914883026	-1	-0.179135069	-1
6	33	-1	-1	-0.81097158	-1	-1	1	-1	-0.885877947	-1	-1	-1	-1
6	35	-1	-1	-0.60921093	-1	-0.924593184	1	-1	-1	-1	-1	-1	-1
6	37	-1	-0.899912968	-1	-0.706048738	-1	1	-0.778285466	-0.893603133	-1	-1	-1	-1
6	39	-1	-0.953307393	-0.369997221	-0.958310172	-0.891397999	1	-0.691564758	-0.915300167	-0.948304614	-1	-0.929683157	-1
6	41	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1
6	43	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1
6	45	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1
7	1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
7	3	-1	-1	-1	-1	-0.946050096	-0.897238279	1	-0.664454435	-0.79918647	-0.777777778	-1	-0.800613716
7	5	-1	-1	-1	-1	-0.926976004	-0.841158979	1	-1	-1	-1	-0.852361524	-0.173155383
7	7	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
7	9	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
7	11	-1	-1	-0.816885389	-1	-0.031933508	-1	1	-1	-1	-1	-1	-0.916885389
7	13	-1	-1	-1	-0.996417705	-0.9603766	-1	1	-1	-1	-1	-1	-0.994373959
7	15	-1	-1	-1	-0.967806732	-1	-1	1	-0.757057546	-0.218241042	-0.735287731	0.305103149	-1
7	17	-1	-1	-1	-0.966337188	-0.714378963	-0.500652742	0.721279373	-1	-1	-1	0.063036181	1
7	19	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
7	21	-1	-1	-1	-1	-1	-1	1	-1	-0.878993683	-0.862927666	-1	-1
7	23	-1	-1	0.245978167	-0.79610744	-1	-1	1	-1	-1	-1	-1	-1
7	25	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
7	27	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
7	29	-1	-1	-1	-1	-1	-1	1	-1	-0.878993683	-0.862927666	-1	-1
7	31	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
7	33	-1	-1	-1	-1	-1	-1	1	-1	-1	-0.971291866	-1	-1
7	35	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
7	37	-1	-1	-1	-0.926463837	-1	-1	1	-1	-1	-1	-1	-1
7	39	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
7	41	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
7	43	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
7	45	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-0.961197402	-1
7	47	-1	-0.197881938	-0.024318494	-0.555010786	-0.361639537	-0.51637576	1	-1	-1	-1	-0.041184546	-1
7	49	-1	-0.908098883	-0.297889946	-0.851106744	-0.534236657	-0.136274307	1	-0.536615639	-0.823282995	-0.649203558	-0.902306578	-0.899048407
7	51	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
7	53	-1	-1	-0.867126606	-1	-0.949020434	-1	1	-0.688276806	-0.920054771	-0.91394565	-0.911681062	-1
7	55	-1	-1	-1	-1	-0.505599227	-1	1	-1	-1	-1	-0.526415177	-0.785955821
7	57	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
7	59	-1	-1	-1	-1	-1	-1	1	-0.648324873	-1	-0.892690355	-1	-1
7	61	-1	-1	-1	-1	-1	-1	1	0.583559519	-0.661302831	-0.912756883	-1	-1
7	63	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
7	65	-1	-1	-1	-1	-1	-1	1	0.620242805	-0.662870004	-0.958191243	-1	-1
7	67	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
7	69	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
7	71	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
7	73	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
7	75	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
7	77	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
7	79	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
7	81	-1	-1	-1	-1	-1	-1	1	-0.915867906	-1	-1	-1	-1
7	83	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
7	85	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
7	87	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
7	89	-1	-1	-1	-1	-1	-1	1	-0.884615385	-1	-1	-1	-1
7	91	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
8	1	-1	-1	-1	-1	-1	-1	-0.978521127	1	-0.909647887	-0.940985915	-1	-1
8	3	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1
8	5	-1	-1	0.364655633	-0.927567183	-0.813667912	-0.156255561	1	0.869371774	-1	-0.438690158	-0.929346859	-1
8	7	-1	-1	-0.895200832	-1	-0.773562478	-0.941954336	0.014214254	1	-1	-0.681343173	-1	-0.706800059
8	9	-1	-1	-0.188220041	-0.942952399	-0.545693647	0.282163364	1	0.812409706	-1	-0.632969068	-0.954584182	-0.756102982
8	11	-1	-1	0.165811683	-0.933642231	-0.303657124	0.305642893	0.456230349	1	-1	-0.6652325	-0.900049644	-0.639417508
8	13	-1	-1	-0.243357097	-0.955821992	-0.760531432	-0.495031324	1	0.679952474	-1	-0.529055952	-1	-0.763447829
8	15	-1	-1	-0.012825628	-0.951775637	-0.753747934	-0.503733683	0.04999145	1	-1	-0.444336773	-1	-0.824773414
8	17	-1	-1	-0.097521884	-1	-1	-0.510048083	-1	1	-1	-1	-0.232893601	-0.636789545
8	19	-1	-1	-0.924514474	-1	-1	-1	-1	1	-1	-1	-1	-1
8	21	-1	-0.93601111	-1	-1	-1	-1	-0.853968593	1	-1	-0.303172738	-1	-1
8	23	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1
8	25	-1	-0.957358238	-1	-0.985742942	-0.971227056	-1	-0.982140931	1	-1	-1	-0.9611328	-1
8	27	-1	-1	-1	-0.843457451	-1	-1	-1	1	-1	-1	-1	-1
8	29	-1	-1	-1	-1	-1	-1	-0.930383121	1	-0.529438647	-0.636529819	-1	-1
8	31	-1	-1	-1	-1	-1	-1	-1	1	-0.992187132	-0.992959355	-1	-1
8	33	-1	-1	-1	-1	-1	-1	-1	1	-0.63943662	-0.712807075	-1	-1
8	35	-1	-1	-1	-1	-1	-1	-1	1	-0.919044554	-1	-1	-1
8	37	-1	-1	-1	-1	-1	-1	-1	1	-1	-0.941833486	-1	-1
8	39	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1
8	41	-1	-1	-1	-1	-1	-1	-1	1	-0.977848835	-0.899902683	-1	-1
8	43	-1	-1	-1	-1	-1	-1	-1	1	-0.977612249	-1	-1	-1
8	45	-1	-1	-0.677098662	-0.828051931	-1	-1	1	0.447463946	0.094869028	-0.291736159	-0.898688643	-0.819156938
